
set RETAILERS := M1 M2 M3 M4 M5 M6 M7 M8 M9 M10 M11 M12 M13 M14 M15 M16 M17 M18 M19 M20 M21 M22 M23;
set REGIONS := 'Region 1' 'Region 2' 'Region 3';
set GROUPS := A B;

param oil :=
M1 9
M2 13
M3 14
M4 17
M5 18
M6 19
M7 23
M8 21
M9 9
M10 11
M11 17
M12 18
M13 18
M14 17
M15 22
M16 24
M17 36
M18 43
M19 6
M20 15
M21 15
M22 25
M23 39;

param delivery_points :=
M1 11
M2 47
M3 44
M4 25
M5 10
M6 26
M7 26
M8 54
M9 18
M10 51
M11 20
M12 105
M13 7
M14 16
M15 34
M16 100
M17 50
M18 21
M19 11;
